Player,Event,Rating,Placement
m0NESY,FISSURE_Playground_2,1.13,3-4
m0NESY,BLAST_Bounty_2025_Season_1_Finals,1.43,3-4
m0NESY,BLAST_Open_Lisbon_2025,1.16,5-6
m0NESY,BLAST_Rivals_2025_Season_1,1.31,2
m0NESY,BLAST_Rivals_2025_Season_2,1.42,2
m0NESY,ESL_Pro_League_Season_21_2025,1.42,5-8
m0NESY,ESL_Pro_League_Season_22,1.37,2
m0NESY,Esports_World_Cup_2025,1.3,3
m0NESY,IEM_Chengdu_2025,1.33,3
m0NESY,IEM_Cologne_2025,1.07,9-12
m0NESY,IEM_Dallas_2025,1.29,3-4
m0NESY,IEM_Katowice_2025,1,9-12
m0NESY,IEM_Melbourne_2025,1.23,2
m0NESY,PGL_Bucharest_2025,1.28,2
NiKo,IEM_Katowice_2025,1.15,13-16
NiKo,PGL_Cluj-Napoca_2025,1.24,2
NiKo,ESL_Pro_League_Season_21_2025,1.07,9-11
NiKo,BLAST_Open_Lisbon_2025,1.11,9-12
NiKo,PGL_Bucharest_2025,1.15,1
NiKo,IEM_Melbourne_2025,1.17,2
NiKo,BLAST_Rivals_2025_Season_1,1.12,2
NiKo,IEM_Dallas_2025,1.01,3-4
NiKo,IEM_Cologne_2025,0.92,9-12
NiKo,Esports_World_Cup_2025,1.28,3
NiKo,FISSURE_Playground_2,1.36,3-4
NiKo,ESL_Pro_League_Season_22,1.14,2
NiKo,IEM_Chengdu_2025,1.15,3
NiKo,BLAST_Rivals_2025_Season_2,0.94,2